Model,Accuracy,AUC,Recall,Prec.,F1
Extreme Gradient Boosting,0.9,0.95,0.69,0.79,0.74
Random Forest Classifier,0.9,0.95,0.63,0.82,0.71
Gradient Boosting Classifier,0.9,0.96,0.62,0.83,0.7
Light Gradient Boosting Machine,0.9,0.96,0.68,0.77,0.72
Ada Boost Classifier,0.89,0.95,0.64,0.77,0.7
Decision Tree Classifier,0.88,0.8,0.68,0.69,0.68
Quadratic Discriminant Analysis,0.82,0.81,0.22,0.66,0.33
Extra Trees Classifier,0.82,0.88,0.15,0.72,0.25
Naive Bayes,0.81,0.81,0.14,0.63,0.23
SVM - Linear Kernel,0.8,0.0,0.0,0.0,0.0
Dummy Classifier,0.8,0.5,0.0,0.0,0.0
Ridge Classifier,0.8,0.0,0.0,0.0,0.0
Logistic Regression,0.8,0.66,0.0,0.15,0.01
Linear Discriminant Analysis,0.8,0.67,0.01,0.16,0.02
K Neighbors Classifier,0.77,0.5,0.07,0.23,0.11
